#Command used: mpirun -n 2 -ppn 1 -hosts ct1pt-tnode008,ct1pt-tnode009 ./IMB-MPI1 PingPong -msglog 28
#Nodes involved: ct1pt-tnode008+ct1pt-tnode009
#lambda = 1.06 usec, bandwith= 12231.84 MB/s
#bytes #repetitions   t[usec]   Mbytes/sec   t[usec] computed  
0,1000,1.04,0.0,1.06
1,1000,1.04,0.96,1.06
2,1000,1.05,1.91,1.06
4,1000,1.05,3.82,1.06
8,1000,1.04,7.69,1.06
16,1000,1.04,15.34,1.06
32,1000,1.06,30.07,1.06
64,1000,1.19,53.64,1.07
128,1000,1.25,102.45,1.07
256,1000,1.47,174.43,1.08
512,1000,1.54,331.52,1.1
1024,1000,1.69,605.81,1.14
2048,1000,2.35,870.7,1.23
4096,1000,3.0,1365.99,1.39
8192,1000,3.93,2084.3,1.73
16384,1000,5.74,2855.68,2.4
32768,1000,9.39,3488.9,3.74
65536,640,12.17,5387.25,6.42
131072,320,20.95,6254.97,11.78
262144,160,32.44,8080.33,22.49
524288,80,54.22,9669.33,43.92
1048576,40,96.24,10895.65,86.79
2097152,20,183.26,11443.64,172.51
4194304,10,351.18,11943.32,343.96
8388608,5,690.97,12140.36,686.86
16777216,2,1374.49,12206.18,1372.66
33554432,1,2757.28,12169.42,2744.26
67108864,1,5514.41,12169.74,5487.47
134217728,1,10979.89,12223.96,10973.88
268435456,1,21934.82,12237.87,21946.7
