#Command used: mpirun -n 2 -ppn 2 -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1 PingPong -msglog 28 
#Nodes involved: ct1pg-gnode001
#lambda = 0.46 usec, bandwith= 4278.89 MB/s
#bytes #repetitions   t[usec]   Mbytes/sec   t[usec] computed  
0,1000,0.44,0.0,0.46
1,1000,0.45,2.24,0.46
2,1000,0.45,4.45,0.46
4,1000,0.45,8.89,0.46
8,1000,0.45,17.78,0.46
16,1000,0.45,35.82,0.46
32,1000,0.49,65.44,0.47
64,1000,0.48,132.27,0.47
128,1000,0.58,222.58,0.49
256,1000,0.62,411.42,0.52
512,1000,0.94,543.33,0.58
1024,1000,0.98,1040.96,0.7
2048,1000,1.13,1805.17,0.94
4096,1000,1.63,2519.58,1.42
8192,1000,2.04,4005.92,2.37
16384,1000,3.6,4551.85,4.29
32768,1000,5.59,5857.74,8.12
65536,640,9.36,6999.19,15.78
131072,320,15.28,8577.6,31.09
262144,160,28.63,9157.02,61.72
524288,80,71.3,7353.27,122.99
1048576,40,136.56,7678.26,245.52
2097152,20,257.82,8134.15,490.58
4194304,10,512.32,8186.93,980.69
8388608,5,1063.57,7887.2,1960.92
16777216,2,2312.34,7255.51,3921.38
33554432,1,7937.52,4227.32,7842.31
67108864,1,15876.99,4226.8,15684.16
134217728,1,31654.57,4240.07,31367.85
268435456,1,62670.09,4283.31,62735.25
